Bauwerk,Bauwerkbezeichnung,Ebene,Raumnr,Nutzungsartbez.,Nutzername,Kostentraeger,GueltigVon,GueltigBis
151.02,Luftpostleitstelle,G6,105,BÜRORAUM,F-ITK,F-ITK,01/03/08,31/12/99
151.02,Luftpostleitstelle,G6,107,BÜRORAUM,F-ITK,F-ITK,01/03/08,31/12/99
151.02,Luftpostleitstelle,G6,712,FLUR,F-RE,F-RE,01/03/08,31/12/99
151.02,Luftpostleitstelle,G5,301,BÜRORAUM,F-ITED,F-ITED,25/03/03,31/12/99
151.02,Luftpostleitstelle,G5,303,BÜRORAUM,F-ITED,F-ITED,25/03/03,31/12/99
151.02,Luftpostleitstelle,G5,310,BÜRORAUM,F-ITED,F-ITED,25/03/03,31/12/99
151.02,Luftpostleitstelle,G5,312,BÜRORAUM,F-ITED,F-ITED,25/03/03,31/12/99
151.02,Luftpostleitstelle,G6,100,BESPRECHUNGSRAUM,F-ITK,F-ITK,28/03/03,31/12/99
151.02,Luftpostleitstelle,G6,304,BÜRORAUM,F-ITEG,F-ITEG,28/03/03,31/12/99
151.02,Luftpostleitstelle,G6,108,BÜRORAUM,F-ITK,F-ITK,28/03/03,31/12/99
151.02,Luftpostleitstelle,G6,422,BÜRORAUM,F-ITES,F-ITES,28/03/03,31/12/99
151.02,Luftpostleitstelle,G6,426,BÜRORAUM,F-ITES,F-ITES,28/03/03,31/12/99
151.02,Luftpostleitstelle,G6,408,BÜRORAUM,F-ITEV,F-ITEV,28/03/03,31/12/99
151.02,Luftpostleitstelle,G6,412,BÜRORAUM,F-ITES,F-ITES,28/03/03,31/12/99
151.02,Luftpostleitstelle,G6,601,FLUR,F-RE,F-RE,28/03/03,31/12/99
151.02,Luftpostleitstelle,G5,105,BÜRORAUM,F-IT,F-IT,19/04/11,31/12/99
151.02,Luftpostleitstelle,G5,107,BÜRORAUM,F-IT,F-IT,19/04/11,31/12/99
151.02,Luftpostleitstelle,G5,407,BÜRORAUM,F-ITN,F-ITN,01/03/08,31/12/99
151.02,Luftpostleitstelle,G5,411,SONSTIGER BEREICH,F-ITN,F-ITN,01/03/08,31/12/99
151.02,Luftpostleitstelle,G5,415,BÜRORAUM,F-ITN,F-ITN,01/03/08,31/12/99
151.02,Luftpostleitstelle,G5,417,BÜRORAUM,F-ITN,F-ITN,01/03/08,31/12/99
151.02,Luftpostleitstelle,G5,418,BÜRORAUM,F-ITET,F-ITET,01/03/08,31/12/99
151.02,Luftpostleitstelle,G5,419,BÜRORAUM,F-ITE,F-ITE,01/03/08,31/12/99
151.02,Luftpostleitstelle,G5,422,BÜRORAUM,F-ITET,F-ITET,01/03/08,31/12/99
151.02,Luftpostleitstelle,G5,423,BÜRORAUM,F-ITET,F-ITET,01/03/08,31/12/99
151.02,Luftpostleitstelle,G5,424,BÜRORAUM,F-ITET,F-ITET,01/03/08,31/12/99
151.02,Luftpostleitstelle,G5,426,BÜRORAUM,F-ITET,F-ITET,01/03/08,31/12/99
151.02,Luftpostleitstelle,G5,313,BÜRORAUM,F-ITED,F-ITED,01/03/08,31/12/99
151.02,Luftpostleitstelle,G5,316,BÜRORAUM,F-ITED,F-ITED,01/03/08,31/12/99
151.02,Luftpostleitstelle,G5,318,BÜRORAUM,F-ITED,F-ITED,01/03/08,31/12/99
151.02,Luftpostleitstelle,G5,324,BÜRORAUM,F-ITEC,F-ITEC,01/03/08,31/12/99
151.02,Luftpostleitstelle,G5,328,BÜRORAUM,F-ITEC,F-ITEC,01/03/08,31/12/99
151.02,Luftpostleitstelle,G5,330,BÜRORAUM,F-ITEC,F-ITEC,01/03/08,31/12/99
151.02,Luftpostleitstelle,G6,401,BÜRORAUM,F-ITEV,F-ITEV,01/03/08,31/12/99
151.02,Luftpostleitstelle,G6,403,BÜRORAUM,F-ITEV,F-ITEV,01/03/08,31/12/99
151.02,Luftpostleitstelle,G6,407,BÜRORAUM,F-ITEV,F-ITEV,01/03/08,31/12/99
151.02,Luftpostleitstelle,G6,414,BÜRORAUM,F-ITES,F-ITES,01/03/08,31/12/99
151.02,Luftpostleitstelle,G6,418,BÜRORAUM,F-ITES,F-ITES,01/03/08,31/12/99
151.02,Luftpostleitstelle,G6,301,BÜRORAUM,F-ITEG,F-ITEG,01/03/08,31/12/99
151.02,Luftpostleitstelle,G5,400,BÜRORAUM,F-ITE,F-ITE,25/09/15,31/12/99
151.02,Luftpostleitstelle,G5,750,FLUR,F-RE,F-RE,25/09/15,31/12/99
